,generation,best_reward,mean_reward,worst_reward
0,1,-43.97793686740084,-74.05992508527726,-91.71872142171352
1,2,40.855100028602365,-54.71851685247501,-92.3846954569508
2,3,63.95308995594979,-48.33854900173172,-81.02357773304485
3,4,34.580312695303945,-27.63627296248946,-75.12643458701814
4,5,66.18258340280701,-31.443848496919777,-84.59359812983209
5,6,225.92748583677448,9.75687601025624,-66.95448593978533
6,7,349.8091051476807,68.29349784251764,-45.500099201408716
7,8,360.17438653668006,125.34899551306103,-65.84592295572074
8,9,469.52296865659406,180.2513005394947,12.677681314800465
9,10,460.10413847897473,216.69389870576185,-25.120466578659272
10,11,363.6995032791647,226.47551836350158,29.71086794061709
11,12,514.8463639428509,305.5256310000226,124.2883478085596
12,13,520.909375324109,325.2241516990924,65.12870594367375
13,14,691.3107065821077,390.8348155764706,154.3440063290264
14,15,635.755863634516,423.14332339728367,237.75551165221052
15,16,616.5342616824079,441.86265611028773,262.35140389653424
16,17,600.6811962880869,476.41877689869887,253.50727050015942
17,18,626.8837097740327,421.0666350160139,180.31577630272207
18,19,632.0241871381357,438.22172581688767,240.19677918662325
19,20,638.8930550712275,409.2673857105424,194.53818656448075
20,21,710.2089452322174,497.8167823498391,321.05361939838537
21,22,667.2212985566576,461.44171214934465,277.9691540394536
22,23,692.1959706963061,511.1660637979524,272.38373299642586
23,24,779.6074278455955,538.839054173264,381.19322385536725
24,25,678.9885215980846,555.5671246515278,384.89477618171156
25,26,663.7422942422083,510.6246520277231,312.9756704619937
26,27,734.0633790257674,474.1071427987441,270.963370968057
27,28,785.0754204453607,540.9439250628557,369.93989345329743
28,29,692.3430287214452,546.9542144429263,369.78889515942166
29,30,705.3278759877197,547.4858620363145,423.6671807003118
30,31,748.888011335591,554.4311280746447,257.7741323043595
31,32,740.8324979001316,575.548589825343,177.5976531631906
32,33,775.9260995747943,580.2240540212347,304.0695368383249
33,34,763.4661554818457,601.6810665870426,432.56236041569656
34,35,796.4476105295538,555.6556023663578,309.59917547796766
35,36,763.4881806324337,584.2782341803509,370.30851550662703
36,37,786.7081006168415,606.958709856559,492.51762024487573
37,38,754.3569965668821,618.4552822643061,415.45642869244506
38,39,743.0099957889082,642.828229686829,476.2161918061642
39,40,754.8379895810111,630.3873050735883,299.26769375728765
40,41,763.6804350766002,647.1720892755699,482.00149870875794
41,42,772.2559724753804,634.7080432063374,488.53043188541517
42,43,793.4640368063035,638.8884191867683,496.68068160886367
